cancion:id;album_id
0;1
1;2
2;3
3;2
4;4
5;1
6;5
7;6
8;7
9;1
10;8
11;9
12;10
13;8
14;8
15;11
16;11
17;10
18;9
19;12
20;13
21;14
22;14
23;13
24;13
25;14
26;13
27;15
28;13
29;16
30;17
31;17
32;18
33;19
34;17
35;20
36;21
37;22
38;17
39;23
40;24
41;25
42;24
43;26
44;27
45;28
46;29
47;30
48;31
49;32
50;33
51;34
52;35
53;35
54;36
55;34
56;34
57;35
58;34
59;34
60;37
61;38
62;39
63;40
64;37
65;38
66;39
67;37
68;37
69;41
70;42
71;43
72;43
73;44
74;43
75;45
76;45
77;44
78;44
79;45
80;46
81;47
82;48
83;48
84;49
85;48
86;50
87;48
88;49
89;51
90;52
91;53
92;54
93;55
94;56
95;57
96;58
97;52
98;56
99;53
100;59
101;60
102;59
103;61
104;62
105;62
106;63
107;64
108;61
109;60
110;65
111;66
112;67
113;65
114;68
115;69
116;70
117;71
118;72
119;65
120;73
121;74
122;75
123;74
124;74
125;75
126;76
127;77
128;74
129;76
130;78
131;79
132;80
133;81
134;82
135;83
136;84
137;85
138;86
139;87
140;88
61;89
142;90
143;91
144;92
145;93
146;91
147;91
148;94
149;95
150;96
151;97
152;98
153;99
154;100
91;53
156;101
157;102
158;103
159;104
160;105
161;106
162;107
163;108
164;105
165;105
166;109
167;107
168;110
169;107
170;111
171;112
172;113
173;114
174;115
175;116
176;117
177;112
178;118
179;119
180;120
181;121
182;120
183;122
184;123
185;124
186;125
187;126
188;126
189;120
190;127
191;128
192;129
193;128
194;127
195;129
196;129
197;130
198;127
199;131
200;132
201;133
202;134
203;135
204;136
205;133
206;137
207;135
208;138
209;139
210;140
211;141
212;141
213;142
214;143
215;143
216;144
217;145
218;142
219;146
220;147
221;148
222;147
223;148
224;149
225;147
226;150
227;151
228;148
229;148
230;152
231;153
232;154
233;155
234;15
235;156
236;157
237;158
238;159
239;160
240;161
241;162
242;163
243;164
244;163
245;165
246;165
247;166
169;107
249;167
250;168
251;169
252;170
253;171
254;169
255;172
256;170
257;173
258;174
259;168
260;175
261;175
262;176
263;177
264;178
265;177
266;176
267;178
268;147
269;175
270;179
271;180
272;181
273;180
274;182
275;183
276;182
277;184
278;180
279;182
280;185
281;186
282;186
283;187
284;188
285;185
286;189
287;190
288;191
289;186
290;192
291;193
292;194
293;195
294;196
295;197
96;58
297;198
298;199
299;200
300;201
301;202
302;201
303;203
304;204
305;205
306;206
307;207
308;208
309;209
310;210
311;211
63;40
313;211
314;210
315;212
316;213
317;210
318;210
319;214
320;215
321;216
322;217
323;215
324;216
325;218
326;216
327;216
328;216
329;214
330;219
331;220
332;221
310;210
334;222
335;221
336;221
337;223
338;221
339;224
340;225
341;226
342;227
343;228
344;226
345;229
346;230
347;231
348;232
349;229
350;233
351;234
352;233
353;233
354;235
355;236
356;233
357;237
358;238
359;236
360;239
361;240
362;241
363;131
364;241
365;242
366;243
367;241
368;244
369;245
370;246
371;247
372;247
373;248
374;249
375;247
376;250
377;251
378;252
379;253
380;254
381;255
382;256
383;257
384;257
385;258
386;259
387;257
178;118
389;260
302;201
391;261
392;262
393;263
394;264
395;265
396;266
397;266
398;267
399;266
400;268
401;269
402;270
403;271
404;272
405;273
385;258
407;274
178;118
409;275
410;276
411;277
412;276
413;278
414;279
415;280
416;281
417;282
418;283
419;284
420;285
421;286
422;287
423;286
424;288
425;288
426;289
427;290
428;291
429;292
430;215
431;293
432;294
433;295
243;296
435;297
436;298
437;299
438;300
439;301
440;301
441;302
442;303
443;304
444;301
445;305
446;306
447;307
448;308
449;209
450;209
451;309
452;309
453;310
454;311
455;312
456;313
457;312
458;209
459;314
460;315
461;316
462;317
463;318
464;319
465;320
466;321
467;322
468;323
469;324
470;324
471;324
472;324
473;324
474;324
475;324
476;324
477;324
478;324
479;325
480;326
481;327
482;328
483;329
484;330
485;325
486;331
487;332
488;333
489;334
490;335
491;325
461;316
493;336
494;337
495;338
496;339
497;340
498;341
499;342
500;343
501;344
502;342
503;344
504;344
505;344
506;342
507;344
508;344
509;345
510;345
511;346
512;345
513;347
514;348
515;347
516;346
517;348
518;345
519;349
520;350
521;351
522;350
523;352
524;349
525;353
526;352
527;350
528;354
529;355
530;356
531;356
532;357
533;358
534;358
535;358
536;358
537;359
538;358
539;360
540;361
541;360
542;362
543;360
544;362
545;363
546;364
547;365
548;361
549;366
550;367
551;368
552;367
553;369
554;370
555;369
556;367
557;370
558;371
559;372
560;372
561;373
562;374
563;375
564;376
565;374
566;373
567;377
568;372
569;378
570;378
571;379
572;378
573;380
574;380
575;378
576;380
577;381
578;379
579;382
580;383
581;384
582;385
583;386
584;387
585;388
586;389
587;387
588;385
589;390
505;391
591;392
592;390
593;390
594;392
595;390
596;393
597;394
598;390
599;395
600;396
601;396
602;397
603;398
604;399
605;396
606;400
607;395
608;396
609;401
610;401
611;402
612;403
613;404
614;401
615;403
616;402
617;405
618;403
619;406
620;407
621;408
622;407
623;409
624;407
625;406
626;407
627;407
628;410
629;411
630;412
631;413
632;414
633;415
634;416
635;416
636;415
637;411
638;411
639;417
640;417
641;418
642;419
643;417
644;420
645;421
646;422
647;422
648;418
649;423
650;423
651;423
652;423
653;424
654;425
655;423
656;426
657;423
658;427
659;428
660;429
661;430
662;431
663;429
664;430
665;432
666;432
667;432
668;431
669;433
670;433
671;434
672;435
673;436
674;433
675;437
676;433
677;438
678;439
679;440
680;441
681;441
682;442
683;443
684;443
685;444
686;441
687;445
688;441
689;446
690;447
691;448
692;449
693;450
694;447
695;450
696;447
697;450
698;450
699;451
700;452
701;453
702;453
703;454
704;455
705;456
706;457
707;458
708;451
709;459
710;460
711;459
712;459
713;459
714;461
715;462
716;463
717;464
718;465
719;466
720;467
721;468
722;469
723;467
724;467
725;470
726;471
727;467
728;467
729;472
730;473
731;473
732;472
733;474
734;475
735;476
736;472
737;473
738;473
171;112
740;477
741;478
457;479
743;478
744;480
745;481
746;480
747;481
748;477
749;482
750;482
751;482
752;483
753;483
754;483
755;482
756;483
757;484
758;485
759;486
760;485
761;487
762;488
763;489
764;490
765;491
766;490
767;492
768;493
769;494
770;494
771;495
772;496
772;497
774;497
775;498
776;497
777;498
778;499
779;500
780;501
781;502
782;503
783;500
784;500
785;504
786;501
787;503
788;505
789;506
790;507
791;508
792;509
793;510
794;511
795;512
796;509
797;513
798;514
799;515
800;516
801;517
802;516
803;518
804;516
805;515
806;519
807;515
193;128
759;486
810;520
811;521
236;522
813;522
814;523
815;522
816;524
817;525
818;526
819;526
820;527
821;528
822;529
823;530
824;531
825;532
826;528
827;528
828;533
829;534
830;535
831;536
832;534
833;537
834;538
835;539
836;537
837;536
838;540
839;541
840;542
841;543
842;544
843;545
844;546
845;547
846;543
847;542
848;548
849;549
850;550
851;548
852;551
853;551
854;552
855;553
856;553
857;554
858;555
859;555
860;556
861;555
862;557
863;557
864;558
865;559
866;560
867;561
868;562
869;563
870;564
871;565
746;566
873;563
874;565
875;566
876;564
877;566
878;506
879;567
789;506
881;567
882;568
883;569
884;569
885;506
886;570
887;506
888;571
889;572
890;571
891;573
892;574
893;575
894;576
895;572
896;577
897;577
898;578
899;579
759;486
901;580
902;581
705;456
904;582
905;578
906;583
907;584
908;585
909;585
910;586
911;587
912;586
913;588
914;306
915;588
916;587
917;589
918;590
919;591
920;592
921;593
922;594
923;595
924;596
925;597
926;598
927;599
928;600
929;601
930;602
931;600
932;602
933;603
934;604
935;605
936;600
937;606
938;607
939;608
940;609
941;610
942;611
943;612
944;612
945;613
946;612
947;609
939;608
949;614
950;615
951;616
941;610
942;611
943;612
955;617
956;618
957;619
958;620
959;621
960;622
961;623
