ID;Track;Danceability;Energy;Key;Loudness;Speechiness;Acousticness;Instrumentalness;Liveness;Valence;Tempo;Duration_ms
130;"Happy - From ""Despicable Me 2""";647;822;5.0;-4662;183;219;0.0;908;962;160019;232720.0
131;Down In Atlanta;851;819;7.0;-5173;212;337;153;658;903;83154;164041.0
132;Feels (feat. Pharrell Williams, Katy Perry & Big Sean);893;745;11.0;-3105;571;642;0.0;943;872;101018;223413.0
133;Cash In Cash Out;877;0.56;7.0;-3751;596;721;1.45e-06;839;154;119971;216136.0
134;Stay With Me (with Justin Timberlake, Halsey & Pharrell);0.81;733;9.0;-6338;444;276;6.73e-06;288;0.9;125975;229283.0
135;Hit Different;679;516;0.0;-6371;452;199;0.0;965;716;120074;202008.0
136;Neon Guts (feat. Pharrell Williams);859;563;1.0;-6635;112;541;0.0;685;412;119934;258789.0
137;JUGGERNAUT (feat. Lil Uzi Vert & Pharrell Williams);827;571;11.0;-7949;366;195;0.0;166;0.62;142034;146419.0
138;Just A Cloud Away;0.89;0.46;2.0;-8155;359;432;0.0;0.11;677;112555;176078.0
139;Frontin' (feat. Jay-Z) - Club Mix;894;404;9.0;-5913;0.13;453;1.57e-06;801;759;102009;236507.0
140;lovely (with Khalid);351;296;4.0;-10109;333;934;0.0;95;0.12;115284;200186.0
141;Numb;912;774;0.0;-4673;455;121;127;101;632;119966;155589.0
142;Silence;0.52;761;4.0;-3093;853;256;4.96e-06;0.17;286;141971;180823.0
143;Young Dumb & Broke;799;539;1.0;-6351;421;199;1.66e-05;165;394;136948;202547.0
144;Eastside (with Halsey & Khalid);632;686;6.0;-7665;243;549;0.0;0.2;329;89949;170770.0
145;Better;596;552;0.0;-10278;97;765;334;104;112;97949;229320.0
146;Location;736;449;1.0;-11462;425;0.33;162;898;326;80126;219080.0
147;8TEEN;0.83;585;1.0;-5802;366;225;209;576;642;105.03;228600.0
148;Beautiful People (feat. Khalid);0.64;647;5.0;-8114;186;124;0.0;801;546;92979;197867.0
149;Love Lies (with Normani);708;648;6.0;-5626;449;956;0.0;134;338;143955;201707.0
150;Shakira: Bzrp Music Sessions, Vol. 53;778;632;2.0;-5.6;493;274;0.0;915;498;122104;218289.0
151;Monotonía;873;695;0.0;-4207;459;419;1.23e-06;211;823;131963;158805.0
152;Te Felicito;695;636;5.0;-4654;317;234;0.0;81;575;174.14;172235.0
153;Hips Don't Lie (feat. Wyclef Jean);778;824;10.0;-5892;707;284;0.0;405;758;100024;218093.0
154;Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song] (feat. Freshlyground);758;871;2.0;-6408;147;62;0.0;663;753;126994;202627.0
155;DON'T YOU WORRY;831;868;11.0;-5282;325;176;0.0;184;483;131971;194438.0
156;Dia de Enero;687;361;10.0;-11589;792;0.35;1.11e-05;0.11;526;165747;173133.0
157;Chantaje (feat. Maluma);852;773;8.0;-2921;776;187;3.05e-05;159;907;102034;195840.0
158;Inevitable;595;461;6.0;-7786;641;269;149;123;338;91976;192867.0
159;Antologia;839;403;0.0;-11059;308;0.5;1.81e-06;786;575;97967;254240.0
160;my ex's best friend (with blackbear);731;675;5.0;-5134;434;473;0.0;141;298;124939;139461.0
161;I Think I'm OKAY (with YUNGBLUD & Travis Barker);628;744;7.0;-4718;379;257;0.0;313;277;119921;169397.0
162;maybe (feat. Bring Me The Horizon);601;0.92;5.0;-4802;505;735;0.0;998;537;88014;170134.0
163;Home (with Machine Gun Kelly, X Ambassadors & Bebe Rexha);653;718;3.0;-5232;213;413;0.0;537;216;82034;202805.0
164;forget me too (feat. Halsey);654;875;1.0;-4845;744;417;86;194;522;99975;171621.0
165;bloody valentine;533;858;2.0;-4212;766;21;0.0;148;506;160057;205159.0
166;Bad Things (with Camila Cabello);697;691;2.0;-4757;146;214;0.0;185;305;137853;239293.0
167;make up sex (feat. blackbear);665;678;5.0;-4122;315;156;0.0;474;682;131986;122570.0
168;F*CK YOU, GOODBYE (feat. Machine Gun Kelly);721;632;5.0;-6695;358;693;0.0;291;296;92057;144860.0
169;ay! (feat. Lil Wayne);742;617;2.0;-6689;345;0.05;5.92e-05;711;491;147002;124188.0
170;X;594;749;9.0;-5298;56;338;106;0.3;694;179968;172854.0
171;El Perdón (with Enrique Iglesias);628;0.69;8.0;-5.83;511;443;0.0;113;0.66;179908;205907.0
172;Bella y Sensual;635;713;11.0;-6909;937;228;0.0;506;749;179864;204701.0
173;Nicky Jam: Bzrp Music Sessions, Vol. 41;627;849;1.0;-3167;153;913;0.0;145;818;89907;158087.0
174;Cuaderno;681;648;1.0;-5021;0.38;523;0.0;104;688;172.02;286507.0
175;En La Cama (feat. Daddy Yankee);855;912;10.0;-4832;145;183;0.0;122;885;104072;157023.0
176;Si Te Preguntan...;0.76;803;8.0;-2867;306;531;0.0;555;922;136945;223074.0
177;Hasta el Amanecer;832;608;6.0;-6042;385;282;0.0;761;589;94013;198707.0
178;Color Esperanza 2020;591;785;9.0;-7768;161;161;0.0;126;785;106002;217547.0
179;Donde Estan las Gatas;827;788;7.0;-11937;831;246;0.0;764;815;109933;170005.0
180;Here Comes The Sun - Remastered 2009;557;0.54;9.0;-10484;347;339;248;179;394;129171;185733.0
181;Let It Be - Remastered 2009;443;403;0.0;-8339;322;631;0.0;111;0.41;143462;243027.0
182;Come Together - Remastered 2009;533;376;9.0;-11913;393;302;248;926;187;165007;259947.0
183;Yesterday - Remastered 2009;332;179;5.0;-11.83;326;879;0.0;886;315;96529;125667.0
184;Twist And Shout - Remastered 2009;482;849;2.0;-9198;452;641;7.74e-06;414;937;124631;155227.0
185;Blackbird - Remastered 2009;686;127;7.0;-14361;342;754;1.41e-05;573;372;93699;138387.0
186;In My Life - Remastered 2009;688;435;9.0;-11359;323;449;0.0;113;435;103239;146333.0
187;Hey Jude - Remastered 2015;386;607;10.0;-7.7;261;112;1.38e-05;88;532;147207;425653.0
188;I Want To Hold Your Hand - Remastered 2015;0.49;715;7.0;-5549;476;386;0.0;311;866;130726;145747.0
189;Something - Remastered 2009;396;338;0.0;-10872;304;198;2.62e-06;138;377;133522;182293.0
190;Give Me Everything (feat. Ne-Yo, Afrojack & Nayer);671;939;8.0;-3206;161;191;0.0;298;0.53;129024;252307.0
191;Timber (feat. Ke$ha);581;963;11.0;-4087;981;295;0.0;139;788;129992;204160.0
192;Time of Our Lives;721;802;1.0;-5797;583;921;0.0;694;724;124022;229360.0
193;Feel This Moment (feat. Christina Aguilera);673;758;7.0;-3632;158;39;0.0;341;542;135956;229507.0
194;International Love (feat. Chris Brown);0.67;855;0.0;-3035;499;124;0.0;335;648;120.05;227280.0
195;Fireball (feat. John Ryan);761;933;10.0;-5.38;56;908;8.53e-05;607;836;122959;236200.0
196;We Are One (Ole Ola) [The Official 2014 FIFA World Cup Song] (feat. Jennifer Lopez & Claudia Leitte);592;935;6.0;-4317;581;879;154;132;567;125013;222520.0
197;Hotel Room Service;0.85;631;1.0;-8401;227;684;406;679;738;126002;237600.0
198;Hey Baby (Drop It to the Floor) (feat. T-Pain);595;912;10.0;-3428;884;434;0.0;259;762;128024;234453.0
199;HOT;898;677;11.0;-6422;243;223;0.0;0.35;578;130027;154493.0
200;No Lie;742;882;7.0;-2862;117;466;0.0;206;463;102.04;221176.0
201;Temperature;951;0.6;0.0;-4675;685;106;0.0;712;822;125.04;218573.0
202;Go Down Deh (feat. Shaggy and Sean Paul);801;764;2.0;-5112;986;109;1.62e-05;247;578;89999;154151.0
203;Get Busy;741;824;10.0;-4143;352;614;0.0;158;725;100216;211666.0
204;She Doesn't Mind;718;776;7.0;-5208;693;624;5.3e-06;207;622;120015;227787.0
205;Give It Up to Me;855;674;7.0;-4328;314;165;0.0;548;578;95991;242253.0
206;(When You Gonna) Give It Up to Me (feat. Keyshia Cole) - Radio Version;711;761;8.0;-3.04;225;67;0.0;41;718;95824;243880.0
207;I'm Still in Love with You (feat. Sasha);765;666;7.0;-5384;172;103;0.0;116;757;87002;273360.0
208;UP;812;712;0.0;-5993;452;0.01;0.0;108;0.85;98029;148944.0
209;Contra La Pared;828;588;2.0;-7.14;118;156;0.0;124;598;94052;224681.0
210;Can't Help Falling in Love;396;293;2.0;-14062;275;941;196;105;343;100307;182360.0
211;Blue Christmas;465;0.27;4.0;-16661;425;0.9;104;145;0.58;94518;129173.0
212;Here Comes Santa Claus (Right Down Santa Claus Lane);575;236;2.0;-16982;422;968;178;105;829;79576;115827.0
213;Suspicious Minds;487;382;7.0;-10889;309;422;4.74e-06;411;714;116557;261280.0
214;Burning Love;0.66;748;2.0;-11206;284;993;585;283;972;143549;170293.0
215;Always On My Mind;358;387;7.0;-14342;324;746;121;119;495;181183;218440.0
216;If I Can Dream;325;715;7.0;-7744;368;708;2.79e-05;987;282;93914;191840.0
217;Jailhouse Rock;623;537;10.0;-10014;726;332;1.4e-05;963;905;166885;146933.0
218;In the Ghetto;404;266;10.0;-16688;334;716;133;107;491;88916;167413.0
219;(You're The) Devil in Disguise;481;733;5.0;-7633;165;573;1.17e-05;108;874;122903;140427.0
220;Hit 'Em Up - Single Version;916;844;7.0;-3967;236;394;0.0;778;586;95.19;312627.0
221;Ambitionz Az A Ridah;801;0.91;2.0;-6566;225;239;891;737;805;87277;278387.0
222;California Love - Original Version;763;0.85;7.0;-3052;417;304;1.21e-06;371;761;91519;284907.0
223;All Eyez On Me (ft. Big Syke);872;723;1.0;-5968;247;293;0.0;327;843;93279;307773.0
224;Do For Love;874;0.63;1.0;-3585;298;578;479;582;717;95.0;281600.0
225;Changes;865;665;7.0;-6289;73;453;0.0;224;331;111113;268827.0
226;Dear Mama;773;0.54;6.0;-7123;103;371;0.0;131;322;84115;280000.0
227;Keep Ya Head Up;598;732;4.0;-7013;425;144;0.0;508;595;172329;262507.0
228;2 Of Amerikaz Most Wanted (ft. Snoop Doggy Dogg);849;904;8.0;-4.78;138;248;5.11e-05;545;854;99258;246533.0
229;Can't C Me;795;852;0.0;-2238;178;442;3.47e-06;0.39;673;95.44;330760.0
230;Bad Decisions (with BTS & Snoop Dogg);762;861;0.0;-3296;955;185;0.0;264;955;120048;172714.0
231;Young, Wild & Free (feat. Bruno Mars);553;652;0.0;-6685;206;897;0.0;111;551;94505;207347.0
232;Drop It Like It's Hot;888;632;1.0;-3872;219;0.19;0.0;101;662;91979;266067.0
233;That's My N**** (with Meek Mill, YG & Snoop Dogg);723;732;11.0;-5514;864;0.11;0.0;484;503;104991;199747.0
234;From The D 2 The LBC (with Snoop Dogg);718;768;7.0;-7.87;0.25;988;0.0;957;591;164038;213745.0
235;Sweat - Remix;813;732;7.0;-5636;0.03;597;137;826;731;130.02;195987.0
236;Beautiful;907;695;11.0;-6268;135;246;0.0;808;961;101007;298307.0
237;I Wanna Fuck You;861;0.48;7.0;-8433;512;459;0.0;351;278;99972;178840.0
238;Qué Maldición;755;531;9.0;-8051;196;213;0.0;0.13;683;177951;203360.0
239;Riders On The Storm - Fredwreck Remix;878;786;11.0;-5273;152;416;3.1e-05;122;831;101984;382240.0
240;Love Me;669;634;11.0;-6476;327;125;0.0;946;496;124906;255053.0
241;Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors);502;786;9.0;-4378;317;255;0.0;0.65;739;169021;243491.0
242;Mirror;328;622;5.0;-7291;866;858;0.0;104;401;74267;228093.0
243;Forever;457;906;5.0;-2278;342;249;0.0;182;0.54;104.02;357707.0
244;6 Foot 7 Foot;364;752;2.0;-5429;304;7;0.0;318;606;79119;248587.0
245;Lollipop;832;0.43;0.0;-9.39;826;606;323;124;462;148074;299333.0
246;A Milli;663;688;6.0;-8659;283;391;224;223;731;151589;221813.0
247;Scared of the Dark (feat. XXXTENTACION);443;623;0.0;-6717;718;468;0.0;247;156;79365;233000.0
248;ay! (feat. Lil Wayne);742;617;2.0;-6689;345;0.05;5.92e-05;711;491;147002;124188.0
249;Right Above It;376;841;3.0;-4348;356;435;0.0;578;463;76052;271947.0
250;Snowman;716;512;1.0;-6257;331;483;0.0;928;326;104957;165907.0
251;Unstoppable;468;779;9.0;-4839;779;112;373;101;0.26;173799;217747.0
252;Chandelier;399;787;1.0;-2.88;499;197;6.07e-05;685;572;117089;216120.0
253;Dusk Till Dawn (feat. Sia) - Radio Edit;259;437;11.0;-6589;386;102;1.32e-06;106;951;180042;239000.0
254;Cheap Thrills;628;698;6.0;-5608;105;472;143;907;732;89976;211667.0
255;Genius (feat. Sia, Diplo, and Labrinth);603;615;11.0;-4931;165;799;6.72e-05;117;561;158657;213707.0
256;Elastic Heart;421;791;9.0;-4998;496;117;1.48e-05;146;499;130075;257200.0
257;Unstoppable - R3HAB Remix;678;744;6.0;-4058;234;495;2.35e-05;631;433;101987;162353.0
258;Del Mar;759;636;6.0;-5585;369;224;143;166;536;109976;214507.0
259;Santa's Coming for Us;547;814;1.0;-6191;0.12;215;0.0;475;724;92986;205267.0
260;Dreams - 2004 Remaster;828;492;0.0;-9744;276;644;428;128;789;120151;257800.0
261;The Chain - 2004 Remaster;545;0.67;9.0;-8.81;496;9;822;451;481;151553;270213.0
262;Everywhere - 2017 Remaster;0.73;487;4.0;-10991;303;258;0.01;852;731;114965;226653.0
263;Go Your Own Way - 2004 Remaster;583;947;5.0;-5.12;378;185;109;679;803;135448;223613.0
264;Landslide;414;161;7.0;-22.32;318;883;223;117;423;159375;199493.0
265;Don't Stop - 2004 Remaster;671;0.71;9.0;-7724;356;393;1.12e-05;387;834;118745;193347.0
266;Little Lies - 2017 Remaster;0.64;649;2.0;-10345;264;216;8.3e-05;551;865;124825;221053.0
267;Rhiannon;723;0.49;9.0;-14745;296;111;946;923;795;129012;252773.0
268;Gypsy;622;0.54;5.0;-13.99;261;17;771;265;847;130879;264907.0
269;Never Going Back Again - 2004 Remaster;654;336;6.0;-12825;379;858;385;786;947;176083;134400.0
270;Dancing Queen;543;0.87;9.0;-6514;428;358;939;792;754;100804;230400.0
271;Gimme! Gimme! Gimme! (A Man After Midnight);749;491;10.0;-9655;403;0.02;899;159;536;119528;292613.0
272;Mamma Mia;749;748;2.0;-7011;323;295;443;469;827;137547;213267.0
273;Angeleyes;719;922;11.0;-6091;338;523;163;867;964;133113;260893.0
274;The Winner Takes It All;454;788;6.0;-6748;371;574;766;859;0.52;126.15;294720.0
275;Take A Chance On Me;684;675;11.0;-8123;257;163;0.0;242;924;107064;243933.0
276;Lay All Your Love On Me;678;727;2.0;-7844;258;117;396;354;0.71;133481;274467.0
277;Waterloo;445;949;2.0;-4682;471;395;8.18e-06;902;653;147604;168960.0
278;Chiquitita;0.5;554;9.0;-8108;354;734;3.72e-06;312;372;84229;326320.0
279;Super Trouper;764;626;0.0;-8274;288;457;6.35e-06;201;961;118.34;252853.0
280;Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet);652;259;2.0;-13336;595;903;0.0;362;836;142169;155453.0
281;Have Yourself A Merry Little Christmas - Remastered 1999;262;137;8.0;-15235;344;913;6.74e-06;267;288;92183;206600.0
282;Jingle Bells - Remastered 1999;512;339;8.0;-13119;498;727;0.0;977;951;174609;120693.0
283;My Way;401;381;2.0;-7458;274;0.7;0.0;122;229;75454;276800.0
284;Somethin' Stupid;257;338;4.0;-12902;357;736;0.0;252;544;207356;162493.0
285;Santa Claus Is Comin' to Town;646;204;10.0;-11957;565;826;0.0;312;688;140281;154640.0
286;Fly Me To The Moon (In Other Words);668;0.26;7.0;-14256;523;453;0.0;621;368;119416;147000.0
287;Strangers In The Night;259;473;5.0;-8275;295;592;0.0;201;539;90348;157867.0
288;That's Life;0.56;434;4.0;-14151;729;0.55;0.0;346;664;112803;187040.0
289;Silent Night - 1999 Remaster;252;118;8.0;-17.62;328;945;6.2e-05;117;0.14;87575;146293.0
290;0.440972222;696;793;8.0;-5733;97;683;3.78e-06;0.18;698;120003;172253.0
291;The Motto;754;763;7.0;-4627;435;301;2.23e-05;901;464;117953;164819.0
